method,profile,top3_count,false_top3_count,source_balanced_false_top3_mass,source_balanced_false_top3_share
uncorrected_centroid,en::Owen Wister,133,118,2.4459938533851595,0.0022549735405734076
uncorrected_centroid,en::Arthur Machen,137,112,2.2709215503536004,0.0020935735393113235
uncorrected_centroid,it::Giuseppe Giacosa,145,105,2.1000000000000014,0.0019360001369792856
uncorrected_centroid,ja::Ryunosuke Akutagawa,116,100,2.827076916891158,0.0026062958563582168
uncorrected_centroid,en::Lord Dunsany,113,100,2.1658528428093655,0.0019967101906456686
uncorrected_centroid,pl::Boleslaw Prus,138,99,2.011111111111111,0.0018540530412341294
uncorrected_centroid,de::Franz Kafka,118,99,2.1733333333333342,0.002003606490969038
uncorrected_centroid,ja::Izumi Kyoka,180,97,2.7442105340479945,0.0025299009380080535
uncorrected_centroid,ru::Fyodor Dostoevsky,164,94,1.9904761904761918,0.0018350296082932911
uncorrected_centroid,en::W. W. Jacobs,123,91,1.8559925442684075,0.0017110484856838893
uncorrected_centroid,es::Ruben Dario,156,86,1.720000000000001,0.0015856763026687482
uncorrected_centroid,fr::Prosper Merimee,92,81,1.63904761904762,0.001511045911900839
uncorrected_centroid,es::Miguel de Cervantes,163,75,1.5000000000000009,0.0013828572406994896
uncorrected_centroid,en::Gertrude Atherton,65,65,1.5548023715415027,0.001433379811561936
uncorrected_centroid,it::Italo Svevo,155,64,1.3300000000000005,0.0012261334200868806
uncorrected_centroid,it::Emilio Salgari,151,64,1.2800000000000007,0.0011800381787302311
uncorrected_centroid,zh::Lu Xun,138,64,1.2800000000000007,0.0011800381787302311
uncorrected_centroid,en::Thomas Jefferson,151,57,0.9753297682709446,0.0008991612214154868
uncorrected_centroid,ja::Arishima Takeo,65,55,1.1425000000000007,0.0010532762649994446
uncorrected_centroid,it::Luigi Pirandello,53,42,0.8400000000000004,0.0007744000547917141
uncorrected_centroid,en::Ernest Hemingway,120,21,0.4200000000000001,0.00038720002739585694
uncorrected_centroid,en::Barack Obama,104,4,0.08,7.37523861706394e-05
source_prototype,en::Frances Hodgson Burnett,1015,951,23.295498079616568,0.021391202836187236
source_prototype,en::P. G. Wodehouse,884,807,16.706164794050597,0.015340515944451896
source_prototype,en::Jack London,882,807,16.70815173457202,0.015342340462115005
source_prototype,en::Arthur Conan Doyle,863,805,16.452277925722196,0.015107383109974781
source_prototype,en::Robert Louis Stevenson,844,805,16.294531214275207,0.014962531435639618
source_prototype,en::H. G. Wells,853,765,16.182188224702983,0.014859371946670981
source_prototype,en::George MacDonald,804,741,15.118397444759117,0.01388254096107569
source_prototype,en::Edith Wharton,664,591,11.941465517241216,0.010965307982152697
source_prototype,en::Nathaniel Hawthorne,662,582,11.647027027026867,0.010694938426394329
source_prototype,en::G. K. Chesterton,632,569,11.419380156017933,0.010485900595302132
source_prototype,en::E. Nesbit,585,569,11.611963524540093,0.010662741197072237
source_prototype,en::Henry James,649,556,11.180485312898956,0.01026653425987492
source_prototype,en::Joseph Conrad,568,542,11.175224009616667,0.010261703042902888
source_prototype,en::Rudyard Kipling,603,535,11.058425005272683,0.010154451796999158
source_prototype,de::Arthur Schnitzler,593,519,11.116174488226369,0.01020748053668634
source_prototype,en::Charles Dickens,598,515,10.441882617911894,0.009588308792884482
source_prototype,en::L. M. Montgomery,588,511,10.942056711404408,0.01004759605305542
source_prototype,en::Mark Twain,551,501,10.1143234071174,0.009287525976607314
source_prototype,it::Antonio Fogazzaro,556,494,9.939999999999888,0.009127452671971308
source_prototype,fr::Guy de Maupassant,544,484,9.706666666666548,0.008913193219577608
source_prototype,fr::Paul Bourget,510,478,9.601904761904645,0.008816995098094726
source_prototype,en::Willa Cather,547,476,9.86132023274066,0.009055204598339485
source_prototype,de::Gerhart Hauptmann,505,476,10.184741607381744,0.009352187826723833
source_prototype,ru::Ivan Turgenev,551,463,9.259999999999891,0.008503039410709685
source_prototype,de::Stefan Zweig,496,446,9.574231996913161,0.008791584448923462
source_prototype,en::Elizabeth Cleghorn Gaskell,499,445,8.933693693693591,0.008203407079987698
source_prototype,en::D. H. Lawrence,495,444,9.718711180124139,0.008924253151825202
source_prototype,es::Benito Perez Galdos,477,441,8.8199999999999,0.008099007300481584
source_prototype,en::Thomas Hardy,524,437,8.85090959687078,0.00812739018604986
source_prototype,it::Federico De Roberto,480,432,8.639999999999905,0.007933721437206451
source_prototype,it::Luigi Capuana,462,423,8.46499999999991,0.007773026847911184
source_prototype,en::Stephen Crane,478,417,8.39999999999991,0.007713340286172941
source_prototype,en::Edgar Allan Poe,481,411,12.070103511842557,0.011083430437639725
source_prototype,en::Wilkie Collins,464,407,8.330842744366995,0.007649836304511688
source_prototype,de::Rainer Maria Rilke,409,399,8.541323792486507,0.00784311153640885
source_prototype,en::Washington Irving,483,397,7.993547237076567,0.007340113087282113
source_prototype,fr::Alphonse Daudet,442,395,7.907619047618967,0.007261209115203397
source_prototype,en::Agatha Christie,432,394,8.032223714397546,0.007375627948073442
source_prototype,ja::Natsume Soseki,449,380,10.089405687191997,0.0092646451607811
source_prototype,en::Sinclair Lewis,412,363,7.522556351694216,0.0069076234479202095
source_prototype,ja::Mori Ogai,389,361,9.125391713549524,0.008379434706098931
source_prototype,fr::Jean Lorrain,429,358,7.1638095238094595,0.006578202452674939
source_prototype,ru::Ivan Goncharov,424,352,7.039999999999938,0.006464513763649715
source_prototype,it::Alessandro Manzoni,422,352,7.039999999999938,0.006464513763649715
source_prototype,de::Heinrich Heine,385,351,7.85078320827975,0.007209019333147011
source_prototype,en::Anthony Trollope,398,350,7.053840752517162,0.006477223101028531
source_prototype,ru::Alexander Kuprin,427,347,7.105714285714227,0.0065248562216708
source_prototype,en::Theodore Roosevelt,358,347,7.100963255745828,0.006520493565616506
source_prototype,de::Wilhelm Hauff,428,343,6.932357501139938,0.006365670522821005
source_prototype,de::Thomas Mann,353,340,7.301212121212072,0.006704373046719033
source_prototype,fr::Anatole France,393,337,6.785714285714229,0.0062310146869594485
source_prototype,fr::Denis Diderot,383,334,6.782857142857083,0.006228391101828094
source_prototype,ru::Maxim Gorky,409,332,6.860952380952329,0.006300102428751706
source_prototype,en::Louisa May Alcott,416,329,6.706673669467732,0.0061584352620144426
source_prototype,fr::Emile Gaboriau,383,329,6.60285714285709,0.006063105238552964
source_prototype,fr::Gustave Flaubert,368,322,6.504761904761854,0.005973028815709902
source_prototype,es::Emilia Pardo Bazan,396,318,6.359999999999952,0.0058401005023881025
source_prototype,de::Ludwig Ganghofer,333,315,6.581863972780485,0.006043828159447445
source_prototype,es::Eduardo Zamacois,392,309,6.179999999999956,0.00567481463911297
source_prototype,fr::Andre Gide,359,308,6.213333333333288,0.005705423132312068
source_prototype,de::E. T. A. Hoffmann,350,302,6.2128847668519,0.005705011233989221
source_prototype,en::James Baldwin,376,299,6.037285067873263,0.005543765968230676
source_prototype,it::Salvatore Farina,381,297,5.949999999999961,0.005463616036039189
source_prototype,fr::Marcel Schwob,339,297,5.989523809523769,0.005499908963689549
source_prototype,fr::George Sand,342,294,5.879999999999963,0.005399338200321082
source_prototype,en::Virginia Woolf,332,293,6.274861319340286,0.005761921500549552
source_prototype,en::Gene Stratton-Porter,293,292,10.084138542616774,0.00925980858001382
source_prototype,zh::Li Boyuan,391,291,5.819999999999964,0.005344242912562705
source_prototype,de::Theodor Fontane,325,291,6.070093962884625,0.005573892893425433
source_prototype,de::Marie von Ebner-Eschenbach,293,290,6.648430267103291,0.006104952978459511
source_prototype,en::Abraham Lincoln,335,288,6.1325490196078105,0.0056312425487942625
source_prototype,it::Alfredo Panzini,332,287,5.749999999999965,0.005279965076844598
source_prototype,pl::Maria Konopnicka,377,286,5.719999999999966,0.005252417432965409
source_prototype,de::Adalbert Stifter,334,284,5.819783694038108,0.0053440442885758326
source_prototype,fr::Charles Baudelaire,290,283,5.659999999999967,0.005197322145207031
source_prototype,en::Herman Melville,338,280,5.62108108108105,0.005161584661255651
source_prototype,es::Juan Valera,349,275,5.499999999999971,0.005050401377851357
source_prototype,it::Gabriele D'Annunzio,315,270,5.404999999999973,0.004963167172233927
source_prototype,zh::Wu Jianren,367,267,5.339999999999974,0.004903480610495684
source_prototype,pl::Stefan Zeromski,362,266,5.415555555555545,0.00497285986174699
source_prototype,it::Giovanni Pascoli,344,265,5.299999999999975,0.004866750418656766
source_prototype,fr::Honore de Balzac,279,265,5.345714285714259,0.004908727780758387
source_prototype,ru::Anton Chekhov,331,262,5.737142857142823,0.0052681589437535165
source_prototype,fr::Villiers de l'Isle-Adam,337,261,5.315238095238069,0.004880742872690639
source_prototype,fr::Alexandre Dumas,304,260,5.234285714285691,0.004806407960635686
source_prototype,en::F. Scott Fitzgerald,326,257,5.471904761904734,0.005024602790726404
source_prototype,es::Concha Espina,331,256,5.119999999999979,0.004701464555381633
source_prototype,en::Katherine Mansfield,329,256,5.555885093167682,0.0051017181326760055
source_prototype,de::Ricarda Huch,253,252,5.157785728483386,0.004736161481780855
source_prototype,es::Leopoldo Alas,311,250,4.999999999999981,0.0045912739798648775
source_prototype,it::Annie Vivanti,319,249,5.049999999999979,0.004637186719663525
source_prototype,es::Miguel de Unamuno,336,248,4.959999999999982,0.00455454378802596
source_prototype,de::Hermann Hesse,275,248,5.50298595765078,0.005053143247784785
source_prototype,en::Benjamin Harrison,336,245,4.213739354327599,0.0038692863710914015
source_prototype,en::William Morris,337,242,4.917058823529395,0.00451511284678712
source_prototype,es::Jose Maria de Pereda,326,241,4.819999999999985,0.004425988116589745
source_prototype,fr::Octave Feuillet,295,241,4.911428571428552,0.004509942840792985
source_prototype,fr::Stendhal,252,240,4.838095238095223,0.00444260415575497
source_prototype,en::George Eliot,268,237,4.852276876267732,0.00445562651302163
source_prototype,en::E. M. Forster,256,234,4.986666666666655,0.004579030582585244
source_prototype,de::Wilhelm Raabe,280,231,5.028276684555741,0.00461723918107242
source_prototype,ru::Nikolai Gogol,316,228,4.587619047619038,0.0042126031925731715
source_prototype,de::Johann Wolfgang von Goethe,273,219,4.518827270920288,0.004149434813696042
source_prototype,it::Edmondo De Amicis,266,216,4.319999999999996,0.0039668607186032654
source_prototype,en::Grover Cleveland,309,215,2.981319073083786,0.002737610537184903
